,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path,next_block,makes_sense,block_type,description,table_text,image_description
11,NarrativeText,f38e5e95a1651b2ecb889bf68e6e1f95,"Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be inspected and interpreted. REALM [20] and ORQA [31], two recently introduced models that combine masked language models [8] with a differentiable retriever, have shown promising results,","((300.0, 1729.7647822222223), (300.0, 1999.8608933333335), (1408.0704345703125, 1999.8608933333335), (1408.0704345703125, 1729.7647822222223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9481785893440248,fcf19257d4d0f0e39665499fc870ede6,,"D I el The middle ear includes End-to-End Backprop through q and pe the tympanic cavity and the three ossicles. (y) Define ""middle ear"" (x) Question Answering: Question Query Retriever p Document Generator pg Chnower Gereratn Index (Non-Parametric) (Parametric) d2) supports (y) Barack Obama was born in Hawaii.(x) q(x) Fact Verification: Fact Query Fact Verification: Label Generation The Divine This 14th century work Comedy (x) is divided into 3 Jeopardy Question Generation: Answer Query Sections: ""Inferno"", ""Burgatorio® & ""Paradiso"" 2 Question Generation",True,NarrativeText,"This block discusses the advantages and disadvantages of pre-trained neural language models, highlighting their limitations in memory expansion, revision, and prediction transparency. It further introduces hybrid models as a potential solution to address these issues by combining parametric and non-parametric memories, citing examples like REALM and ORQA.",,
12,Image,ab0bd2254a3cce2989f826c24652ee5e,"D I el The middle ear includes End-to-End Backprop through q and pe the tympanic cavity and the three ossicles. (y) Define ""middle ear"" (x) Question Answering: Question Query Retriever p Document Generator pg Chnower Gereratn Index (Non-Parametric) (Parametric) d2) supports (y) Barack Obama was born in Hawaii.(x) q(x) Fact Verification: Fact Query Fact Verification: Label Generation The Divine This 14th century work Comedy (x) is divided into 3 Jeopardy Question Generation: Answer Query Sections: ""Inferno"", ""Burgatorio® & ""Paradiso"" 2 Question Generation","((306.85675048828125, 189.9801788330078), (306.85675048828125, 507.15521240234375), (1382.9215087890625, 507.15521240234375), (1382.9215087890625, 189.9801788330078))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.922900915145874,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-2-1.jpg,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.",True,Image,,,"The image depicts a diagram outlining an end-to-end backpropagation process through components 'q' and 'pe'. 

**Left Side (Green Box):**
* Labeled ""Retriever pn (Non-Parametric)"" 
* Starts with a ""Query Encoder"" receiving an input query 'q'. Example queries illustrate different NLP tasks: ""Define 'middle ear' (x)"", ""Barack Obama was born in Hawaii. (x)"", ""The Divine Comedy (x)"".
* The encoded query 'q' is processed to 'q(x)' and then fed into ""MIPS"" (likely a retrieval model).
* MIPS interacts with a ""Document Index"" containing documents represented by wavy lines (d(z)). Documents are retrieved based on similarity with the query. 

**Right Side (Blue Box):**
* Labeled ""Generator pe (Parametric)""
* Receives retrieved documents from the left side.
* Processes them through a ""Marginalize"" step, culminating in an output 'pe'.
* Example outputs represent answers corresponding to the input queries: ""The middle ear includes the tympanic cavity and the three ossicles. (y)"", ""supports (y)"", ""This 14th-century work is divided into 3 sections: 'Inferno', 'Purgatorio' & 'Paradiso' (y)"".

**Overall:** The diagram showcases an NLP system where a query is encoded, used for retrieving relevant documents, and then processed to generate a response. The dashed arrow connecting the output to the input signifies end-to-end backpropagation for training the system. 
"
13,NarrativeText,f9cd9c3003fd60a4c4efcd3ad992391d,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.","((295.77911376953125, 534.0171716666664), (295.77911376953125, 653.2358933333335), (1404.668212890625, 653.2358933333335), (1404.668212890625, 534.0171716666664))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8750489354133606,,,"but have only explored open-domain extractive question answering. Here, we bring hybrid parametric and non-parametric memory to the “workhorse of NLP,” i.e. sequence-to-sequence (seq2seq) models.",True,FigureCaption,Description of the approach combining a pre-trained retriever with a pre-trained seq2seq model for query-based text generation.,,
14,NarrativeText,58b28c1630e26712d97fe7298b3184d7,"but have only explored open-domain extractive question answering. Here, we bring hybrid parametric and non-parametric memory to the “workhorse of NLP,” i.e. sequence-to-sequence (seq2seq) models.","((296.3477478027344, 714.1786711111109), (296.3477478027344, 772.1553377777777), (1406.2171630859375, 772.1553377777777), (1406.2171630859375, 714.1786711111109))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9397491812705994,,,"We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose ﬁne-tuning approach which we refer to as retrieval-augmented generation (RAG). We build RAG models where the parametric memory is a pre-trained seq2seq transformer, and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We combine these components in a probabilistic model trained end-to-end (Fig. 1). The retriever (Dense Passage Retriever [26], henceforth DPR) provides latent documents conditioned on the input, and the seq2seq model (BART [32]) then conditions on these latent documents together with the input to generate the output. We marginalize the latent documents with a top-K approximation, either on a per-output basis (assuming the same document is responsible for all tokens) or a per-token basis (where different documents are responsible for different tokens). Like T5 [51] or BART, RAG can be ﬁne-tuned on any seq2seq task, whereby both the generator and retriever are jointly learned.",True,NarrativeText,This text segment discusses the limitations of existing question-answering systems and introduces a novel approach that combines parametric and non-parametric memory for sequence-to-sequence models in natural language processing.,,
15,NarrativeText,0b98408d9ec7a03b6775a55166967b66,"We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose ﬁne-tuning approach which we refer to as retrieval-augmented generation (RAG). We build RAG models where the parametric memory is a pre-trained seq2seq transformer, and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We combine these components in a probabilistic model trained end-to-end (Fig. 1). The retriever (Dense Passage Retriever [26], henceforth DPR) provides latent documents conditioned on the input, and the seq2seq model (BART [32]) then conditions on these latent documents together with the input to generate the output. We marginalize the latent documents with a top-K approximation, either on a per-output basis (assuming the same document is responsible for all tokens) or a per-token basis (where different documents are responsible for different tokens). Like T5 [51] or BART, RAG can be ﬁne-tuned on any seq2seq task, whereby both the generator and retriever are jointly learned.","((298.7, 790.006448888889), (298.7, 1120.7108933333332), (1405.7005615234375, 1120.7108933333332), (1405.7005615234375, 790.006448888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9474478363990784,,,"There has been extensive previous work proposing architectures to enrich systems with non-parametric memory which are trained from scratch for speciﬁc tasks, e.g. memory networks [64, 55], stack- augmented networks [25] and memory layers [30]. In contrast, we explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training.",True,NarrativeText,"This paragraph describes Retrieval-Augmented Generation (RAG), a method to enhance pre-trained language models with non-parametric memory. It details the components of RAG models, how they leverage latent documents for generation, and their applicability to various NLP tasks.",,
16,NarrativeText,acbac10c6dc0657cc2a12c4bd094fcba,"There has been extensive previous work proposing architectures to enrich systems with non-parametric memory which are trained from scratch for speciﬁc tasks, e.g. memory networks [64, 55], stack- augmented networks [25] and memory layers [30]. In contrast, we explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training.","((299.14166666666665, 1138.5592266666665), (299.14166666666665, 1317.7497822222222), (1408.96142578125, 1317.7497822222222), (1408.96142578125, 1138.5592266666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9447131752967834,,,"Our results highlight the beneﬁts of combining parametric and non-parametric memory with genera- tion for knowledge-intensive tasks—tasks that humans could not reasonably be expected to perform without access to an external knowledge source. Our RAG models achieve state-of-the-art results on open Natural Questions [29], WebQuestions [3] and CuratedTrec [2] and strongly outperform recent approaches that use specialised pre-training objectives on TriviaQA [24]. Despite these being extractive tasks, we ﬁnd that unconstrained generation outperforms previous extractive approaches. For knowledge-intensive generation, we experiment with MS-MARCO [1] and Jeopardy question generation, and we ﬁnd that our models generate responses that are more factual, speciﬁc, and diverse than a BART baseline. For FEVER [56] fact veriﬁcation, we achieve results within 4.3% of state-of-the-art pipeline models which use strong retrieval supervision. Finally, we demonstrate that the non-parametric memory can be replaced to update the models’ knowledge as the world changes.1",True,NarrativeText,"This paragraph contrasts the authors' approach of using pre-trained parametric and non-parametric memory components with previous work that trains architectures from scratch. It highlights the advantage of their approach, where the ability to access knowledge is readily available without the need for additional training.",,
17,NarrativeText,1b2e64cf663ea23f235f0cb5fcb75715,"Our results highlight the beneﬁts of combining parametric and non-parametric memory with genera- tion for knowledge-intensive tasks—tasks that humans could not reasonably be expected to perform without access to an external knowledge source. Our RAG models achieve state-of-the-art results on open Natural Questions [29], WebQuestions [3] and CuratedTrec [2] and strongly outperform recent approaches that use specialised pre-training objectives on TriviaQA [24]. Despite these being extractive tasks, we ﬁnd that unconstrained generation outperforms previous extractive approaches. For knowledge-intensive generation, we experiment with MS-MARCO [1] and Jeopardy question generation, and we ﬁnd that our models generate responses that are more factual, speciﬁc, and diverse than a BART baseline. For FEVER [56] fact veriﬁcation, we achieve results within 4.3% of state-of-the-art pipeline models which use strong retrieval supervision. Finally, we demonstrate that the non-parametric memory can be replaced to update the models’ knowledge as the world changes.1","((299.0027777777778, 1335.5981155555553), (299.0027777777778, 1666.30256), (1409.3521728515625, 1666.30256), (1409.3521728515625, 1335.5981155555553))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.94864684343338,,,2 Methods,True,NarrativeText,"This block discusses the results of combining parametric and non-parametric memory with generation for knowledge-intensive tasks. It highlights the models' performance on various tasks like Natural Questions, WebQuestions, CuratedTrec, TriviaQA, MS-MARCO, Jeopardy question generation, and FEVER fact verification.",,
18,Title,50dd4b92531656815e2f268ed8b9fe66,2 Methods,"((295.83807373046875, 1712.1428799999999), (295.83807373046875, 1745.3517688888887), (474.6036682128906, 1745.3517688888887), (474.6036682128906, 1712.1428799999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9016311168670654,,,"We explore RAG models, which use the input sequence x to retrieve text documents z and use them as additional context when generating the target sequence y. As shown in Figure 1, our models leverage two components: (i) a retriever pη(z|x) with parameters η that returns (top-K truncated) distributions over text passages given a query x and (ii) a generator pθ(yi|x, z, y1:i−1) parametrized",True,Title,A title indicating a section or list item focusing on 'Methods'.,,
19,NarrativeText,a0da01ef26708057d4cc0306e0e0cd50,"We explore RAG models, which use the input sequence x to retrieve text documents z and use them as additional context when generating the target sequence y. As shown in Figure 1, our models leverage two components: (i) a retriever pη(z|x) with parameters η that returns (top-K truncated) distributions over text passages given a query x and (ii) a generator pθ(yi|x, z, y1:i−1) parametrized","((296.85443115234375, 1779.5226233333333), (296.85443115234375, 1900.6442144444443), (1406.84716796875, 1900.6442144444443), (1406.84716796875, 1779.5226233333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9450219869613647,50dd4b92531656815e2f268ed8b9fe66,,1Code to run experiments with RAG has been open-sourced as part of the HuggingFace Transform- ers Library [66] and can be found at https://github.com/huggingface/transformers/blob/master/ examples/rag/. An interactive demo of RAG models can be found at https://huggingface.co/rag/,True,NarrativeText,"This text describes RAG models, their components like retriever and generator, and their functions within the model.",,
20,NarrativeText,bf9c21f5b9c6ce9a6458713bd5905f7b,1Code to run experiments with RAG has been open-sourced as part of the HuggingFace Transform- ers Library [66] and can be found at https://github.com/huggingface/transformers/blob/master/ examples/rag/. An interactive demo of RAG models can be found at https://huggingface.co/rag/,"((297.1602783203125, 1921.0543377777778), (297.1602783203125, 2005.5292799999997), (1404.1372789333336, 2005.5292799999997), (1404.1372789333336, 1921.0543377777778))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9185086488723756,50dd4b92531656815e2f268ed8b9fe66,,2,True,NarrativeText,Describes open-source code for RAG experiments and provides links to the code repository and an interactive demo.,,
21,Footer,d2264acf5acd398f1b67636fbaeb14e9,2,"((843.0670166015625, 2061.325893333333), (843.0670166015625, 2088.999782222222), (857.8004760742188, 2088.999782222222), (857.8004760742188, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7838558554649353,,,"by θ that generates a current token based on a context of the previous i − 1 tokens y1:i−1, the original input x and a retrieved passage z.",False,UncategorizedText,"The text block consists of only the number '2', lacking any context or meaning.",,
22,NarrativeText,7b5a8dbec96a0efd1d06a8369d4f331f,"by θ that generates a current token based on a context of the previous i − 1 tokens y1:i−1, the original input x and a retrieved passage z.","((293.5028076171875, 205.3698455555554), (293.5028076171875, 263.95533777777774), (1409.98828125, 263.95533777777774), (1409.98828125, 205.3698455555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.934583306312561,,,"To train the retriever and generator end-to-end, we treat the retrieved document as a latent variable. We propose two models that marginalize over the latent documents in different ways to produce a distribution over generated text. In one approach, RAG-Sequence, the model uses the same document to predict each target token. The second approach, RAG-Token, can predict each target token based on a different document. In the following, we formally introduce both models and then describe the pη and pθ components, as well as the training and decoding procedure.",True,NarrativeText,"This text block describes a technical aspect of a model, focusing on how it generates a current token based on previous tokens, original input, and retrieved passages.",,
23,NarrativeText,45d66f0c430688b64c982031a8b576be,"To train the retriever and generator end-to-end, we treat the retrieved document as a latent variable. We propose two models that marginalize over the latent documents in different ways to produce a distribution over generated text. In one approach, RAG-Sequence, the model uses the same document to predict each target token. The second approach, RAG-Token, can predict each target token based on a different document. In the following, we formally introduce both models and then describe the pη and pθ components, as well as the training and decoding procedure.","((298.7, 281.803671111111), (298.7, 462.92477000000014), (1409.3265380859375, 462.92477000000014), (1409.3265380859375, 281.803671111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9448511004447936,,,2.1 Models,True,NarrativeText,"Describes two models, RAG-Sequence and RAG-Token, for end-to-end training of retriever and generator components in a text generation system. It outlines how these models utilize retrieved documents to generate text and briefly mentions the components involved in the process.",,
24,Title,1364452f97c794bc0b56d74319a77002,2.1 Models,"((298.10308837890625, 499.8182872222224), (298.10308837890625, 527.4921761111111), (448.48065185546875, 527.4921761111111), (448.48065185546875, 499.8182872222224))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8603833317756653,,,"RAG-Sequence Model The RAG-Sequence model uses the same retrieved document to generate the complete sequence. Technically, it treats the retrieved document as a single latent variable that is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the top K documents are retrieved using the retriever, and the generator produces the output sequence probability for each document, which are then marginalized,",True,Title,A section title likely introducing a discussion about different types of models.,,
25,NarrativeText,f7336e3c514488e3e1176668b0aee5a5,"RAG-Sequence Model The RAG-Sequence model uses the same retrieved document to generate the complete sequence. Technically, it treats the retrieved document as a single latent variable that is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the top K documents are retrieved using the retriever, and the generator produces the output sequence probability for each document, which are then marginalized,","((296.9883117675781, 555.3043983333336), (296.9883117675781, 704.3858933333335), (1410.18896484375, 704.3858933333335), (1410.18896484375, 555.3043983333336))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9393952488899232,1364452f97c794bc0b56d74319a77002,,"N Pracseasence(U7) = D py(2l@)po(yla.z) = D puzlz) [ [ po(wilz, 2, y1i-1) z€top-k(p(-|z)) z€top-k(p(-|z)) i",True,NarrativeText,"Describes the RAG-Sequence model, which retrieves a document and treats it as a single latent variable to generate a complete sequence.",,
