,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path
22,NarrativeText,39ac4e27e88fbfe0903a414d7f91b852,"by θ that generates a current token based on a context of the previous i − 1 tokens y1:i−1, the original input x and a retrieved passage z.","((293.5028076171875, 205.3698455555554), (293.5028076171875, 263.95533777777774), (1409.98828125, 263.95533777777774), (1409.98828125, 205.3698455555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.934583306312561,,
23,NarrativeText,2e9ba5c3581cac94af9863d9476a51ff,"To train the retriever and generator end-to-end, we treat the retrieved document as a latent variable. We propose two models that marginalize over the latent documents in different ways to produce a distribution over generated text. In one approach, RAG-Sequence, the model uses the same document to predict each target token. The second approach, RAG-Token, can predict each target token based on a different document. In the following, we formally introduce both models and then describe the pη and pθ components, as well as the training and decoding procedure.","((298.7, 281.803671111111), (298.7, 462.92477000000014), (1409.3265380859375, 462.92477000000014), (1409.3265380859375, 281.803671111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9448511004447937,,
24,Title,a7f377bab34e37de1de0c81d4c04b45e,2.1 Models,"((298.10308837890625, 499.8182872222224), (298.10308837890625, 527.4921761111111), (448.48065185546875, 527.4921761111111), (448.48065185546875, 499.8182872222224))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8603833317756653,,
25,NarrativeText,92b043643be7dce8179d40308d2c1784,"RAG-Sequence Model The RAG-Sequence model uses the same retrieved document to generate the complete sequence. Technically, it treats the retrieved document as a single latent variable that is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the top K documents are retrieved using the retriever, and the generator produces the output sequence probability for each document, which are then marginalized,","((296.9883117675781, 555.3043983333336), (296.9883117675781, 704.3858933333335), (1410.18896484375, 704.3858933333335), (1410.18896484375, 555.3043983333336))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9393952488899231,a7f377bab34e37de1de0c81d4c04b45e,
26,Formula,9c74a8374e9c1e662820b431e1c50216,"N Pracseasence(U7) = D py(2l@)po(yla.z) = D puzlz) [ [ po(wilz, 2, y1i-1) z€top-k(p(-|z)) z€top-k(p(-|z)) i","((398.22777777777776, 720.0003255555556), (398.22777777777776, 812.1522216796875), (1301.7734864999998, 812.1522216796875), (1301.7734864999998, 720.0003255555556))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.812188446521759,,
27,NarrativeText,0e056fccb2830bde00b7ee5f168fbc44,"RAG-Token Model In the RAG-Token model we can draw a different latent document for each target token and marginalize accordingly. This allows the generator to choose content from several documents when producing an answer. Concretely, the top K documents are retrieved using the retriever, and then the generator produces a distribution for the next output token for each document, before marginalizing, and repeating the process with the following output token, Formally, we deﬁne:","((295.8310546875, 839.7905094444448), (295.8310546875, 988.8692266666666), (1407.905517578125, 988.8692266666666), (1407.905517578125, 839.7905094444448))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9377853274345398,,
28,Formula,2a30c0a1e7d0d6d1bc3eaf79edbff84b,"N Pracnen (W7) ~ [ S paGlpeilr, 2z p1) i z€top-k(p(-|z))","((505.2166666666666, 1004.4864366666668), (505.2166666666666, 1098.7362060546875), (1194.7845976111112, 1098.7362060546875), (1194.7845976111112, 1004.4864366666668))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7874074578285217,,
29,NarrativeText,be5a8b12ddf1d65aa9ac5af9a89b837b,"Finally, we note that RAG can be used for sequence classiﬁcation tasks by considering the target class as a target sequence of length one, in which case RAG-Sequence and RAG-Token are equivalent.","((293.3083801269531, 1124.1647822222221), (293.3083801269531, 1182.1414488888888), (1407.800048828125, 1182.1414488888888), (1407.800048828125, 1124.1647822222221))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9131911993026733,,
30,Title,74f259f6dd0285e71028fc45fdf798f1,2.2 Retriever: DPR,"((297.1885986328125, 1220.9655094444445), (297.1885986328125, 1248.6393983333332), (548.4008266666667, 1248.6393983333332), (548.4008266666667, 1220.9655094444445))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8952699899673462,,
31,NarrativeText,c149b735b5f6bad8187de9e87dc3ffe7,The retrieval component pη(z|x) is based on DPR [26]. DPR follows a bi-encoder architecture:,"((299.14166666666665, 1276.0365122222222), (299.14166666666665, 1306.2525477777776), (1355.186771666667, 1306.2525477777776), (1355.186771666667, 1276.0365122222222))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8258834481239319,74f259f6dd0285e71028fc45fdf798f1,
32,Title,422a3608e0cc944867d3a81ba3d457b7,py(zl2) cexp (d(z)Ta()),"((429.64722222222224, 1312.8665555555556), (429.64722222222224, 1354.260881111111), (751.4329432777777, 1354.260881111111), (751.4329432777777, 1312.8665555555556))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,
33,Formula,2aef2cea8ad85d9b4afa7c3358eafc66,"d(z) = BERTd(z), q(x) = BERTq(x)","((444.9538879394531, 1324.0476233333334), (444.9538879394531, 1354.260881111111), (1270.3540420555562, 1354.260881111111), (1270.3540420555562, 1324.0476233333334))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.487331748008728,,
34,NarrativeText,96068dd414d291d73e54ed98462b4a6a,"where d(z) is a dense representation of a document produced by a BERTBASE document encoder [8], and q(x) a query representation produced by a query encoder, also based on BERTBASE. Calculating top-k(pη(·|x)), the list of k documents z with highest prior probability pη(z|x), is a Maximum Inner Product Search (MIPS) problem, which can be approximately solved in sub-linear time [23]. We use a pre-trained bi-encoder from DPR to initialize our retriever and to build the document index. This retriever was trained to retrieve documents which contain answers to TriviaQA [24] questions and Natural Questions [29]. We refer to the document index as the non-parametric memory.","((299.0027777777778, 1369.6727272222222), (299.0027777777778, 1579.80256), (1407.091064453125, 1579.80256), (1407.091064453125, 1369.6727272222222))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9477173686027527,,
35,Title,4ce0546597df98fa7ec1b2ae56e6c02c,2.3 Generator: BART,"((298.1676330566406, 1618.6266205555555), (298.1676330566406, 1646.3005094444443), (578.5135498046875, 1646.3005094444443), (578.5135498046875, 1618.6266205555555))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8494035005569458,,
36,NarrativeText,c5591c089b9c863f96c3d62dc9df754a,"The generator component pθ(yi|x, z, y1:i−1) could be modelled using any encoder-decoder. We use BART-large [32], a pre-trained seq2seq transformer [58] with 400M parameters. To combine the input x with the retrieved content z when generating from BART, we simply concatenate them. BART was pre-trained using a denoising objective and a variety of different noising functions. It has obtained state-of-the-art results on a diverse set of generation tasks and outperforms comparably-sized T5 models [32]. We refer to the BART generator parameters θ as the parametric memory henceforth.","((299.14166666666665, 1673.6976233333332), (299.14166666666665, 1853.4942266666667), (1407.786865234375, 1853.4942266666667), (1407.786865234375, 1673.6976233333332))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9460332989692688,4ce0546597df98fa7ec1b2ae56e6c02c,
37,Title,d81795a29d61df397ebb513d4aa9cf24,2.4 Training,"((297.0955505371094, 1892.3210649999999), (297.0955505371094, 1919.994953888889), (466.24639892578125, 1919.994953888889), (466.24639892578125, 1892.3210649999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8542823195457458,,
38,NarrativeText,be3fc97e4a4c8e71f11535e40b0e3400,"We jointly train the retriever and generator components without any direct supervision on what document should be retrieved. Given a ﬁne-tuning training corpus of input/output pairs (xj, yj), we","((294.2911071777344, 1948.0008933333331), (294.2911071777344, 2007.9081033333332), (1410.3592529296875, 2007.9081033333332), (1410.3592529296875, 1948.0008933333331))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9311904907226562,d81795a29d61df397ebb513d4aa9cf24,
39,Footer,63be211f1d50262163de4692e45fd364,3,"((842.001953125, 2061.325893333333), (842.001953125, 2088.999782222222), (857.6129150390625, 2088.999782222222), (857.6129150390625, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7349655628204346,,
40,NarrativeText,6312c11f393a3a44ac404db5e33fdef8,"minimize the negative marginal log-likelihood of each target, Z] —log p(y;|a;) using stochastic gradient descent with Adam [28]. Updating the document encoder BERT,; during training is costly as it requires the document index to be periodically updated as REALM does during pre-training [20]. We do not find this step necessary for strong performance, and keep the document encoder (and index) fixed, only fine-tuning the query encoder BERT, and the BART generator.","((298.7, 195.84988888888876), (298.7, 360.09143666666654), (1406.2216796875, 360.09143666666654), (1406.2216796875, 195.84988888888876))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9426218271255493,,
41,Title,8ef9e25a5e0ceb03a74538a05fabd9d3,2.5 Decoding,"((297.3731994628906, 398.1821761111111), (297.3731994628906, 425.8560649999999), (473.09332275390625, 425.8560649999999), (473.09332275390625, 398.1821761111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8648046851158142,,
42,NarrativeText,ffe5685a2f39e03a17b1b84e5fa7400d,"At test time, RAG-Sequence and RAG-Token require different ways to approximate arg maxy p(y|x).","((299.0027777777778, 453.2531788888889), (299.0027777777778, 486.08032555555536), (1404.8439916666666, 486.08032555555536), (1404.8439916666666, 453.2531788888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,8ef9e25a5e0ceb03a74538a05fabd9d3,
43,NarrativeText,1713df79809c58d882586f513f565b96,"RAG-Token The RAG-Token model can be seen as a standard, autoregressive seq2seq genera- tor with transition probability: pj(yi|z,y1.i-1) = Zzemp,k(p(_‘x)) n(zil2)po(ysl|z, zi, y1:i—1) To decode, we can plug pg(yi |, y1.4—1) into a standard beam decoder.","((298.34228515625, 517.8210650000002), (298.34228515625, 618.3275477777777), (1407.8101806640625, 618.3275477777777), (1407.8101806640625, 517.8210650000002))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,1-Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9291889667510986,8ef9e25a5e0ceb03a74538a05fabd9d3,
