,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path
10,Title,fcf19257d4d0f0e39665499fc870ede6,1 Introduction,"((295.1087646484375, 1657.353991111111), (295.1087646484375, 1690.56288), (535.5828247070312, 1690.56288), (535.5828247070312, 1657.353991111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8984555006027222,6afcf8d92b2e1513a713972102cd8216,
11,NarrativeText,f38e5e95a1651b2ecb889bf68e6e1f95,"Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be inspected and interpreted. REALM [20] and ORQA [31], two recently introduced models that combine masked language models [8] with a differentiable retriever, have shown promising results,","((300.0, 1729.7647822222223), (300.0, 1999.8608933333335), (1408.0704345703125, 1999.8608933333335), (1408.0704345703125, 1729.7647822222223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],1,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9481785893440247,fcf19257d4d0f0e39665499fc870ede6,
12,Image,ab0bd2254a3cce2989f826c24652ee5e,"D I el The middle ear includes End-to-End Backprop through q and pe the tympanic cavity and the three ossicles. (y) Define ""middle ear"" (x) Question Answering: Question Query Retriever p Document Generator pg Chnower Gereratn Index (Non-Parametric) (Parametric) d2) supports (y) Barack Obama was born in Hawaii.(x) q(x) Fact Verification: Fact Query Fact Verification: Label Generation The Divine This 14th century work Comedy (x) is divided into 3 Jeopardy Question Generation: Answer Query Sections: ""Inferno"", ""Burgatorio® & ""Paradiso"" 2 Question Generation","((306.85675048828125, 189.9801788330078), (306.85675048828125, 507.15521240234375), (1382.9215087890625, 507.15521240234375), (1382.9215087890625, 189.9801788330078))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.922900915145874,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-2-1.jpg
13,NarrativeText,f9cd9c3003fd60a4c4efcd3ad992391d,"Figure 1: Overview of our approach. We combine a pre-trained retriever (Query Encoder + Document Index) with a pre-trained seq2seq model (Generator) and ﬁne-tune end-to-end. For query x, we use Maximum Inner Product Search (MIPS) to ﬁnd the top-K documents zi. For ﬁnal prediction y, we treat z as a latent variable and marginalize over seq2seq predictions given different documents.","((295.77911376953125, 534.0171716666664), (295.77911376953125, 653.2358933333335), (1404.668212890625, 653.2358933333335), (1404.668212890625, 534.0171716666664))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8750489354133606,,
14,NarrativeText,58b28c1630e26712d97fe7298b3184d7,"but have only explored open-domain extractive question answering. Here, we bring hybrid parametric and non-parametric memory to the “workhorse of NLP,” i.e. sequence-to-sequence (seq2seq) models.","((296.3477478027344, 714.1786711111109), (296.3477478027344, 772.1553377777777), (1406.2171630859375, 772.1553377777777), (1406.2171630859375, 714.1786711111109))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9397491812705994,,
15,NarrativeText,0b98408d9ec7a03b6775a55166967b66,"We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose ﬁne-tuning approach which we refer to as retrieval-augmented generation (RAG). We build RAG models where the parametric memory is a pre-trained seq2seq transformer, and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We combine these components in a probabilistic model trained end-to-end (Fig. 1). The retriever (Dense Passage Retriever [26], henceforth DPR) provides latent documents conditioned on the input, and the seq2seq model (BART [32]) then conditions on these latent documents together with the input to generate the output. We marginalize the latent documents with a top-K approximation, either on a per-output basis (assuming the same document is responsible for all tokens) or a per-token basis (where different documents are responsible for different tokens). Like T5 [51] or BART, RAG can be ﬁne-tuned on any seq2seq task, whereby both the generator and retriever are jointly learned.","((298.7, 790.006448888889), (298.7, 1120.7108933333332), (1405.7005615234375, 1120.7108933333332), (1405.7005615234375, 790.006448888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9474478363990784,,
16,NarrativeText,acbac10c6dc0657cc2a12c4bd094fcba,"There has been extensive previous work proposing architectures to enrich systems with non-parametric memory which are trained from scratch for speciﬁc tasks, e.g. memory networks [64, 55], stack- augmented networks [25] and memory layers [30]. In contrast, we explore a setting where both parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training.","((299.14166666666665, 1138.5592266666665), (299.14166666666665, 1317.7497822222222), (1408.96142578125, 1317.7497822222222), (1408.96142578125, 1138.5592266666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9447131752967834,,
17,NarrativeText,1b2e64cf663ea23f235f0cb5fcb75715,"Our results highlight the beneﬁts of combining parametric and non-parametric memory with genera- tion for knowledge-intensive tasks—tasks that humans could not reasonably be expected to perform without access to an external knowledge source. Our RAG models achieve state-of-the-art results on open Natural Questions [29], WebQuestions [3] and CuratedTrec [2] and strongly outperform recent approaches that use specialised pre-training objectives on TriviaQA [24]. Despite these being extractive tasks, we ﬁnd that unconstrained generation outperforms previous extractive approaches. For knowledge-intensive generation, we experiment with MS-MARCO [1] and Jeopardy question generation, and we ﬁnd that our models generate responses that are more factual, speciﬁc, and diverse than a BART baseline. For FEVER [56] fact veriﬁcation, we achieve results within 4.3% of state-of-the-art pipeline models which use strong retrieval supervision. Finally, we demonstrate that the non-parametric memory can be replaced to update the models’ knowledge as the world changes.1","((299.0027777777778, 1335.5981155555553), (299.0027777777778, 1666.30256), (1409.3521728515625, 1666.30256), (1409.3521728515625, 1335.5981155555553))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9486468434333801,,
18,Title,50dd4b92531656815e2f268ed8b9fe66,2 Methods,"((295.83807373046875, 1712.1428799999999), (295.83807373046875, 1745.3517688888887), (474.6036682128906, 1745.3517688888887), (474.6036682128906, 1712.1428799999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9016311168670654,,
19,NarrativeText,a0da01ef26708057d4cc0306e0e0cd50,"We explore RAG models, which use the input sequence x to retrieve text documents z and use them as additional context when generating the target sequence y. As shown in Figure 1, our models leverage two components: (i) a retriever pη(z|x) with parameters η that returns (top-K truncated) distributions over text passages given a query x and (ii) a generator pθ(yi|x, z, y1:i−1) parametrized","((296.85443115234375, 1779.5226233333333), (296.85443115234375, 1900.6442144444443), (1406.84716796875, 1900.6442144444443), (1406.84716796875, 1779.5226233333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9450219869613647,50dd4b92531656815e2f268ed8b9fe66,
20,NarrativeText,bf9c21f5b9c6ce9a6458713bd5905f7b,1Code to run experiments with RAG has been open-sourced as part of the HuggingFace Transform- ers Library [66] and can be found at https://github.com/huggingface/transformers/blob/master/ examples/rag/. An interactive demo of RAG models can be found at https://huggingface.co/rag/,"((297.1602783203125, 1921.0543377777778), (297.1602783203125, 2005.5292799999997), (1404.1372789333336, 2005.5292799999997), (1404.1372789333336, 1921.0543377777778))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9185086488723755,50dd4b92531656815e2f268ed8b9fe66,
21,Footer,d2264acf5acd398f1b67636fbaeb14e9,2,"((843.0670166015625, 2061.325893333333), (843.0670166015625, 2088.999782222222), (857.8004760742188, 2088.999782222222), (857.8004760742188, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],2,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7838558554649353,,
22,NarrativeText,7b5a8dbec96a0efd1d06a8369d4f331f,"by θ that generates a current token based on a context of the previous i − 1 tokens y1:i−1, the original input x and a retrieved passage z.","((293.5028076171875, 205.3698455555554), (293.5028076171875, 263.95533777777774), (1409.98828125, 263.95533777777774), (1409.98828125, 205.3698455555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.934583306312561,,
23,NarrativeText,45d66f0c430688b64c982031a8b576be,"To train the retriever and generator end-to-end, we treat the retrieved document as a latent variable. We propose two models that marginalize over the latent documents in different ways to produce a distribution over generated text. In one approach, RAG-Sequence, the model uses the same document to predict each target token. The second approach, RAG-Token, can predict each target token based on a different document. In the following, we formally introduce both models and then describe the pη and pθ components, as well as the training and decoding procedure.","((298.7, 281.803671111111), (298.7, 462.92477000000014), (1409.3265380859375, 462.92477000000014), (1409.3265380859375, 281.803671111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9448511004447937,,
24,Title,1364452f97c794bc0b56d74319a77002,2.1 Models,"((298.10308837890625, 499.8182872222224), (298.10308837890625, 527.4921761111111), (448.48065185546875, 527.4921761111111), (448.48065185546875, 499.8182872222224))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8603833317756653,,
25,NarrativeText,f7336e3c514488e3e1176668b0aee5a5,"RAG-Sequence Model The RAG-Sequence model uses the same retrieved document to generate the complete sequence. Technically, it treats the retrieved document as a single latent variable that is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the top K documents are retrieved using the retriever, and the generator produces the output sequence probability for each document, which are then marginalized,","((296.9883117675781, 555.3043983333336), (296.9883117675781, 704.3858933333335), (1410.18896484375, 704.3858933333335), (1410.18896484375, 555.3043983333336))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9393952488899231,1364452f97c794bc0b56d74319a77002,
26,Formula,42ab8ac66a27bc76ad6cc76dab72bbf1,"N Pracseasence(U7) = D py(2l@)po(yla.z) = D puzlz) [ [ po(wilz, 2, y1i-1) z€top-k(p(-|z)) z€top-k(p(-|z)) i","((398.22777777777776, 720.0003255555556), (398.22777777777776, 812.1522216796875), (1301.7734864999998, 812.1522216796875), (1301.7734864999998, 720.0003255555556))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.812188446521759,,
27,NarrativeText,fb12f95b0899cc7b5c570161715fb064,"RAG-Token Model In the RAG-Token model we can draw a different latent document for each target token and marginalize accordingly. This allows the generator to choose content from several documents when producing an answer. Concretely, the top K documents are retrieved using the retriever, and then the generator produces a distribution for the next output token for each document, before marginalizing, and repeating the process with the following output token, Formally, we deﬁne:","((295.8310546875, 839.7905094444448), (295.8310546875, 988.8692266666666), (1407.905517578125, 988.8692266666666), (1407.905517578125, 839.7905094444448))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9377853274345398,,
28,Formula,12ce1178d589addb2928385031ac205b,"N Pracnen (W7) ~ [ S paGlpeilr, 2z p1) i z€top-k(p(-|z))","((505.2166666666666, 1004.4864366666668), (505.2166666666666, 1098.7362060546875), (1194.7845976111112, 1098.7362060546875), (1194.7845976111112, 1004.4864366666668))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7874074578285217,,
29,NarrativeText,fdb47fd0a70f8dfce454e911bbfab3b7,"Finally, we note that RAG can be used for sequence classiﬁcation tasks by considering the target class as a target sequence of length one, in which case RAG-Sequence and RAG-Token are equivalent.","((293.3083801269531, 1124.1647822222221), (293.3083801269531, 1182.1414488888888), (1407.800048828125, 1182.1414488888888), (1407.800048828125, 1124.1647822222221))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9131911993026733,,
30,Title,4304a0d6f74e64a1800095490a884d6a,2.2 Retriever: DPR,"((297.1885986328125, 1220.9655094444445), (297.1885986328125, 1248.6393983333332), (548.4008266666667, 1248.6393983333332), (548.4008266666667, 1220.9655094444445))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8952699899673462,,
31,NarrativeText,973dfae111ba3ad2a5910c17b2b558dc,The retrieval component pη(z|x) is based on DPR [26]. DPR follows a bi-encoder architecture:,"((299.14166666666665, 1276.0365122222222), (299.14166666666665, 1306.2525477777776), (1355.186771666667, 1306.2525477777776), (1355.186771666667, 1276.0365122222222))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8258834481239319,4304a0d6f74e64a1800095490a884d6a,
32,Title,0cff167889198e1537967b87359c519f,py(zl2) cexp (d(z)Ta()),"((429.64722222222224, 1312.8665555555556), (429.64722222222224, 1354.260881111111), (751.4329432777777, 1354.260881111111), (751.4329432777777, 1312.8665555555556))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,
33,Formula,6150d0afd7f420db69c582cb10d2dae0,"d(z) = BERTd(z), q(x) = BERTq(x)","((444.9538879394531, 1324.0476233333334), (444.9538879394531, 1354.260881111111), (1270.3540420555562, 1354.260881111111), (1270.3540420555562, 1324.0476233333334))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.487331748008728,,
34,NarrativeText,0255aaab2b672f13e4aa22f5faf56fed,"where d(z) is a dense representation of a document produced by a BERTBASE document encoder [8], and q(x) a query representation produced by a query encoder, also based on BERTBASE. Calculating top-k(pη(·|x)), the list of k documents z with highest prior probability pη(z|x), is a Maximum Inner Product Search (MIPS) problem, which can be approximately solved in sub-linear time [23]. We use a pre-trained bi-encoder from DPR to initialize our retriever and to build the document index. This retriever was trained to retrieve documents which contain answers to TriviaQA [24] questions and Natural Questions [29]. We refer to the document index as the non-parametric memory.","((299.0027777777778, 1369.6727272222222), (299.0027777777778, 1579.80256), (1407.091064453125, 1579.80256), (1407.091064453125, 1369.6727272222222))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9477173686027527,,
35,Title,4ee1f4f148a1b04123886a1e72752ec1,2.3 Generator: BART,"((298.1676330566406, 1618.6266205555555), (298.1676330566406, 1646.3005094444443), (578.5135498046875, 1646.3005094444443), (578.5135498046875, 1618.6266205555555))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8494035005569458,,
36,NarrativeText,48ba381148e4f560f12fb05c7f51d962,"The generator component pθ(yi|x, z, y1:i−1) could be modelled using any encoder-decoder. We use BART-large [32], a pre-trained seq2seq transformer [58] with 400M parameters. To combine the input x with the retrieved content z when generating from BART, we simply concatenate them. BART was pre-trained using a denoising objective and a variety of different noising functions. It has obtained state-of-the-art results on a diverse set of generation tasks and outperforms comparably-sized T5 models [32]. We refer to the BART generator parameters θ as the parametric memory henceforth.","((299.14166666666665, 1673.6976233333332), (299.14166666666665, 1853.4942266666667), (1407.786865234375, 1853.4942266666667), (1407.786865234375, 1673.6976233333332))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9460332989692688,4ee1f4f148a1b04123886a1e72752ec1,
37,Title,fbf283a1b37562d1887626973f73615f,2.4 Training,"((297.0955505371094, 1892.3210649999999), (297.0955505371094, 1919.994953888889), (466.24639892578125, 1919.994953888889), (466.24639892578125, 1892.3210649999999))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8542823195457458,,
38,NarrativeText,e7f943db8cad0600fb35bae147138288,"We jointly train the retriever and generator components without any direct supervision on what document should be retrieved. Given a ﬁne-tuning training corpus of input/output pairs (xj, yj), we","((294.2911071777344, 1948.0008933333331), (294.2911071777344, 2007.9081033333332), (1410.3592529296875, 2007.9081033333332), (1410.3592529296875, 1948.0008933333331))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9311904907226562,fbf283a1b37562d1887626973f73615f,
39,Footer,d9773f424914a45999087e0f0e2e4ca4,3,"((842.001953125, 2061.325893333333), (842.001953125, 2088.999782222222), (857.6129150390625, 2088.999782222222), (857.6129150390625, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],3,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7349655628204346,,
40,NarrativeText,9ee9181a16b78d29add024c89543b752,"minimize the negative marginal log-likelihood of each target, Z] —log p(y;|a;) using stochastic gradient descent with Adam [28]. Updating the document encoder BERT,; during training is costly as it requires the document index to be periodically updated as REALM does during pre-training [20]. We do not find this step necessary for strong performance, and keep the document encoder (and index) fixed, only fine-tuning the query encoder BERT, and the BART generator.","((298.7, 195.84988888888876), (298.7, 360.09143666666654), (1406.2216796875, 360.09143666666654), (1406.2216796875, 195.84988888888876))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9426218271255493,,
41,Title,1d080bc28a22963b9b5c291a85126152,2.5 Decoding,"((297.3731994628906, 398.1821761111111), (297.3731994628906, 425.8560649999999), (473.09332275390625, 425.8560649999999), (473.09332275390625, 398.1821761111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8648046851158142,,
42,NarrativeText,669f5b76bafd1b99fa227c6892d8da23,"At test time, RAG-Sequence and RAG-Token require different ways to approximate arg maxy p(y|x).","((299.0027777777778, 453.2531788888889), (299.0027777777778, 486.08032555555536), (1404.8439916666666, 486.08032555555536), (1404.8439916666666, 453.2531788888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,1d080bc28a22963b9b5c291a85126152,
43,NarrativeText,667b79c645d658878aec98605e699338,"RAG-Token The RAG-Token model can be seen as a standard, autoregressive seq2seq genera- tor with transition probability: pj(yi|z,y1.i-1) = Zzemp,k(p(_‘x)) n(zil2)po(ysl|z, zi, y1:i—1) To decode, we can plug pg(yi |, y1.4—1) into a standard beam decoder.","((298.34228515625, 517.8210650000002), (298.34228515625, 618.3275477777777), (1407.8101806640625, 618.3275477777777), (1407.8101806640625, 517.8210650000002))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9291889667510986,1d080bc28a22963b9b5c291a85126152,
44,NarrativeText,6fe0ef45d21c39bf53a23e3bdf932b3c,"RAG-Sequence For RAG-Sequence, the likelihood p(y|x) does not break into a conventional per- token likelihood, hence we cannot solve it with a single beam search. Instead, we run beam search for each document z, scoring each hypothesis using pθ(yi|x, z, y1:i−1). This yields a set of hypotheses Y , some of which may not have appeared in the beams of all documents. To estimate the probability of an hypothesis y we run an additional forward pass for each document z for which y does not appear in the beam, multiply generator probability with pη(z|x) and then sum the probabilities across beams for the marginals. We refer to this decoding procedure as “Thorough Decoding.” For longer output sequences, |Y | can become large, requiring many forward passes. For more efﬁcient decoding, we can make a further approximation that pθ(y|x, zi) ≈ 0 where y was not generated during beam search from x, zi. This avoids the need to run additional forward passes once the candidate set Y has been generated. We refer to this decoding procedure as “Fast Decoding.”","((299.0027777777778, 648.5781788888889), (299.0027777777778, 979.8914488888887), (1407.185302734375, 979.8914488888887), (1407.185302734375, 648.5781788888889))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],4,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.951742947101593,1d080bc28a22963b9b5c291a85126152,
